date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6
2020-07-07,10524.01,,,0,0,0,0
2020-07-08,10666.7,0.01355852,,0,0,0,0
2020-07-09,10754.59,0.008239662,,0,0,0,0
2020-07-10,10836.33,0.007600476,,0,0,0,0
2020-07-13,10602.21,-0.021605101,,0,0,0,0
2020-07-14,10689.52,0.008235076,,0,0,0,0
2020-07-15,10701.68,0.001137563,,0,0,0,0
2020-07-16,10626.46,-0.007028803,,0,0,0,0
2020-07-17,10645.22,0.001765404,,0,0,0,0
2020-07-20,10952.08,0.028826083,,0,0,0,0
2020-07-21,10833.07,-0.010866429,,0,0,0,0
2020-07-22,10870.75,0.003478238,,0,0,0,0
2020-07-23,10580.59,-0.026691811,,0,0,0,0
2020-07-24,10483.13,-0.009211207,,0,0,0,0
2020-07-27,10674.38,0.018243597,51.57311684,0,0,0,0
2020-07-28,10532.5,-0.013291638,45.78697148,0,0,0,0
2020-07-29,10662.98,0.012388322,51.20845321,0,0,0,0
2020-07-30,10715.51,0.00492639,53.23601447,0,0,0,0
2020-07-31,10905.88,0.017765837,59.76194141,0,0,0,0
2020-08-03,11055.08,0.013680693,64.00193189,0,0,0,0
2020-08-04,11096.54,0.003750312,65.10237819,0,0,0,0
2020-08-05,11125.44,0.002604415,65.88524017,0,0,0,0
2020-08-06,11267.08,0.012731182,69.49689458,0,0,0,0
2020-08-07,11139.39,-0.011333016,63.01957951,0,1,1,0
2020-08-10,11085.17,-0.004867412,60.44345862,0,0,0,0
2020-08-11,10876.08,-0.018862137,51.67143669,0,0,0,0
2020-08-12,11157.72,0.025895359,60.07624064,0,0,0,0
2020-08-13,11178.37,0.001850737,60.61704772,0,0,0,0
2020-08-14,11164.45,-0.001245262,60.02676544,0,0,0,0
2020-08-17,11288.57,0.011117431,63.44497921,0,0,0,0
2020-08-18,11399.03,0.009785119,66.21393191,0,0,0,0
2020-08-19,11318.64,-0.007052354,62.50325768,0,0,0,0
2020-08-20,11477.05,0.013995498,66.48856424,0,0,0,0
2020-08-21,11555.16,0.006805756,68.27886361,0,0,0,0
2020-08-24,11626.17,0.006145307,69.85552319,0,0,0,0
2020-08-25,11721.81,0.008226269,71.88259516,0,0,0,0
2020-08-26,11971.94,0.021338855,76.35994301,0,0,0,0
2020-08-27,11926.16,-0.003823942,74.03621912,0,0,0,0
2020-08-28,11995.85,0.005843457,75.2699577,0,0,0,0
2020-08-31,12110.7,0.009574144,77.19332572,0,0,0,0
2020-09-01,12292.86,0.015041245,79.86778392,0,0,0,0
2020-09-02,12420.54,0.010386517,81.5049194,0,0,0,0
2020-09-03,11771.37,-0.052265844,56.39465705,0,1,1,0
2020-09-04,11622.13,-0.012678218,52.3980279,0,0,0,0
2020-09-08,11068.26,-0.047656497,40.83242347,0,0,0,0
2020-09-09,11395.85,0.029597245,48.12555922,0,0,0,0
2020-09-10,11154.12,-0.021212108,43.83209954,0,0,0,0
2020-09-11,11087.4,-0.005981646,42.69978405,0,0,0,0
2020-09-14,11277.76,0.017169039,46.91348519,0,0,0,0
2020-09-15,11438.87,0.014285638,50.24812125,0,0,0,0
2020-09-16,11247.6,-0.016721057,46.51265831,0,0,0,0
2020-09-17,11080.95,-0.014816494,43.47977934,0,0,0,0
2020-09-18,10936.98,-0.012992568,40.99295822,0,0,0,0
2020-09-21,10980.22,0.003953559,42.06472103,0,0,0,0
2020-09-22,11186.37,0.018774669,47.00667137,0,0,0,0
2020-09-23,10833.33,-0.031559836,40.61687473,0,0,0,0
2020-09-24,10896.47,0.005828309,42.13194158,0,0,0,0
2020-09-25,11151.13,0.023370871,47.90499611,0,0,0,0
2020-09-28,11364.45,0.0191299,52.20623457,0,0,0,0
2020-09-29,11322.95,-0.003651739,51.31852116,0,0,0,0
2020-09-30,11418.06,0.008399754,53.27927361,0,0,0,0
2020-10-01,11583.2,0.014463052,56.55150863,0,0,0,0
2020-10-02,11255.69,-0.02827457,49.19292078,0,0,0,0
2020-10-05,11509.06,0.022510393,54.16215828,0,0,0,0
2020-10-06,11291.27,-0.018923353,49.66552014,0,0,0,0
2020-10-07,11503.19,0.018768482,53.69405754,0,0,0,0
2020-10-08,11550.94,0.004151022,54.57622523,0,0,0,0
2020-10-09,11725.85,0.015142491,57.75129839,0,0,0,0
2020-10-12,12088.11,0.030894136,63.44968676,0,0,0,0
2020-10-13,12083.17,-0.000408666,63.32425716,0,0,0,0
2020-10-14,11985.36,-0.00809473,60.76301378,0,0,0,0
2020-10-15,11898.57,-0.007241334,58.50190295,0,0,0,0
2020-10-16,11852.17,-0.003899628,57.27480525,0,0,0,0
2020-10-19,11634.35,-0.018378069,51.78362096,0,0,0,0
2020-10-20,11677.84,0.003738069,52.75751448,0,0,0,0
2020-10-21,11665.37,-0.001067834,52.43050327,0,0,0,0
2020-10-22,11662.91,-0.000210881,52.3615517,0,0,0,0
2020-10-23,11692.57,0.002543105,53.16135859,0,0,0,0
2020-10-26,11504.52,-0.016082863,47.69399325,0,0,0,0
2020-10-27,11598.95,0.008208078,50.44980007,0,0,0,0
2020-10-28,11142.76,-0.039330284,39.5962519,0,0,0,0
2020-10-29,11350.74,0.018665035,45.36694852,0,0,0,0
2020-10-30,11052.95,-0.026235294,39.5419519,0,0,0,0
2020-11-02,11084.76,0.002877965,40.42194781,0,0,0,0
2020-11-03,11279.91,0.017605253,45.64863552,0,0,0,0
2020-11-04,11777.02,0.044070387,56.19166902,0,0,0,0
2020-11-05,12078.07,0.025562494,61.11146942,0,0,0,0
2020-11-06,12091.35,0.001099513,61.31783898,0,0,0,0
2020-11-09,11830.39,-0.021582371,55.1270064,0,0,0,0
2020-11-10,11624.29,-0.017421235,50.76750547,0,0,0,0
2020-11-11,11892.93,0.023110229,55.68659633,0,0,0,0
2020-11-12,11827.14,-0.005531858,54.25684205,0,0,0,0
2020-11-13,11937.84,0.009359828,56.29041535,0,0,0,0
2020-11-16,12013.38,0.006327778,57.67322656,0,0,0,0
2020-11-17,11977.49,-0.002987502,56.75453871,0,0,0,0
2020-11-18,11894.71,-0.006911298,54.59441517,0,0,0,0
2020-11-19,11985.43,0.00762692,56.54635535,0,0,0,0
2020-11-20,11906.44,-0.006590502,54.35530226,0,0,0,0
2020-11-23,11905.94,-4.20E-05,54.34094875,0,0,0,0
2020-11-24,12079.81,0.014603635,58.44987051,0,0,0,0
2020-11-25,12152.22,0.0059943,60.06180718,0,0,0,0
2020-11-27,12258.21,0.008721863,62.36344251,0,0,0,0
2020-11-30,12268.32,0.000824753,62.58493832,0,0,0,0
2020-12-01,12455.33,0.015243326,66.51099226,0,0,0,0
2020-12-02,12456.41,8.67E-05,66.53283325,0,0,0,0
2020-12-03,12467.13,0.000860601,66.76453406,0,0,0,0
2020-12-04,12528.48,0.00492094,68.1246263,0,0,0,0
2020-12-07,12596.47,0.005426835,69.60894618,0,0,0,0
2020-12-08,12635.72,0.003115952,70.46401866,0,0,0,0
2020-12-09,12364.64,-0.021453467,58.27005035,0,1,1,0
2020-12-10,12401.74,0.003000492,59.30793363,0,0,0,0
2020-12-11,12375.41,-0.002123089,58.20157226,0,0,0,0
2020-12-14,12462.21,0.007013909,60.79783035,0,0,0,0
2020-12-15,12595.92,0.010729237,64.45996735,0,0,0,0
2020-12-16,12668.16,0.00573519,66.29209119,0,0,0,0
2020-12-17,12752.06,0.006622903,68.33383559,0,0,0,0
2020-12-18,12738.18,-0.001088452,67.60428406,0,0,0,0
2020-12-21,12690.26,-0.003761919,65.02320923,0,0,0,0
2020-12-22,12717.56,0.002151256,65.82374613,0,0,0,0
2020-12-23,12653.14,-0.005065437,62.20569814,0,0,0,0
2020-12-24,12711.01,0.004573568,64.1139464,0,0,0,0
2020-12-28,12838.86,0.010058209,67.96251235,0,0,0,0
2020-12-29,12843.49,0.000360624,68.09595171,0,0,0,0
2020-12-30,12845.36,0.000145599,68.1536457,0,0,0,0
2020-12-31,12888.28,0.003341284,69.51620846,0,0,0,0
2021-01-04,12694.66,-0.015022951,57.55317616,0,0,0,0
2021-01-05,12802.38,0.008485458,61.52064723,0,0,0,0
2021-01-06,12623.35,-0.013984119,52.70360287,0,0,0,0
2021-01-07,12939.57,0.025050403,62.83527743,0,0,0,0
2021-01-08,13105.2,0.012800271,66.84188952,0,0,0,0
2021-01-11,12902.49,-0.015467906,58.52587611,0,0,0,0
2021-01-12,12892.09,-0.000806046,58.12631601,0,0,0,0
2021-01-13,12973.63,0.006324808,60.40853747,0,0,0,0
2021-01-14,12898.69,-0.005776332,57.31664056,0,0,0,0
2021-01-15,12803.93,-0.007346482,53.58205756,0,0,0,0
2021-01-19,12996.54,0.015043038,59.37609759,0,0,0,0
2021-01-20,13296.45,0.023076142,66.4074033,0,0,0,0
2021-01-21,13404.99,0.008163081,68.53030749,0,0,0,0
2021-01-22,13366.4,-0.002878779,66.91127426,0,0,0,0
2021-01-25,13483.29,0.008745062,69.27881929,0,0,0,0
2021-01-26,13490.19,0.000511745,69.41792392,0,0,0,0
2021-01-27,13112.65,-0.027986263,54.79741955,0,1,1,0
2021-01-28,13201.53,0.006778187,57.08874965,0,0,0,0
2021-01-29,12925.38,-0.02091803,48.81009492,0,0,0,0
2021-02-01,13248.9,0.025029825,56.72717838,0,0,0,0
2021-02-02,13456.12,0.015640544,60.89863765,0,0,0,0
2021-02-03,13402.37,-0.003994465,59.30175922,0,0,0,0
2021-02-04,13560.89,0.011827759,62.43063558,0,0,0,0
2021-02-05,13603.96,0.003176045,63.25716984,0,0,0,0
2021-02-08,13695.02,0.006693639,65.00987923,0,0,0,0
2021-02-09,13687.08,-0.000579773,64.71997591,0,0,0,0
2021-02-10,13655.27,-0.00232409,63.49827854,0,0,0,0
2021-02-11,13734.35,0.005791171,65.25423924,0,0,0,0
2021-02-12,13807.7,0.005340624,66.84732151,0,0,0,0
2021-02-16,13773.77,-0.002457325,65.35459269,0,0,0,0
2021-02-17,13699.71,-0.005376887,62.09518016,0,0,0,0
2021-02-18,13637.51,-0.004540242,59.41507859,0,0,0,0
2021-02-19,13580.78,-0.00415985,56.99869777,0,0,0,0
2021-02-22,13223.74,-0.026290095,44.68209347,0,0,0,0
2021-02-23,13194.71,-0.002195294,43.85236888,0,0,0,0
2021-02-24,13302.19,0.008145689,47.7229554,0,0,0,0
2021-02-25,12828.31,-0.035624209,35.95440742,0,0,0,0
2021-02-26,12909.44,0.006324294,38.73970998,0,0,0,0
2021-03-01,13282.95,0.028933091,49.60571415,0,0,0,0
2021-03-02,13059.95,-0.016788439,44.52754794,0,0,0,0
2021-03-03,12683.33,-0.028837783,37.53826529,0,0,0,0
2021-03-04,12464,-0.017292777,34.17407936,0,0,0,0
2021-03-05,12668.51,0.016408055,39.60883925,0,0,0,0
2021-03-08,12299.08,-0.029161283,34.12746186,0,0,0,0
2021-03-09,12794.49,0.040280249,45.09958153,0,0,0,0
2021-03-10,12752.07,-0.00331549,44.41735375,0,0,0,0
2021-03-11,13052.9,0.02359068,50.17374489,0,0,0,0
2021-03-12,12937.29,-0.008857036,48.11159708,0,0,0,0
2021-03-15,13082.54,0.011227235,50.84507599,0,0,0,0
2021-03-16,13152.28,0.005330769,52.14851679,0,0,0,0
2021-03-17,13202.38,0.003809225,53.11044109,0,0,0,0
2021-03-18,12789.14,-0.031300417,45.0636745,0,0,0,0
2021-03-19,12866.99,0.006087196,46.70197498,0,0,0,0
2021-03-22,13086.51,0.017060711,51.12781647,0,0,0,0
2021-03-23,13017.79,-0.005251209,49.73547815,0,0,0,0
2021-03-24,12798.88,-0.016816218,45.48602853,0,0,0,0
2021-03-25,12780.51,-0.001435282,45.13750495,0,0,0,0
2021-03-26,12979.12,0.015540068,49.63109361,0,0,0,0
2021-03-29,12965.74,-0.001030887,49.337911,0,0,0,0
2021-03-30,12896.53,-0.005337914,47.76609567,0,0,0,0
2021-03-31,13091.44,0.015113368,52.36830874,0,0,0,0
2021-04-01,13329.51,0.018185165,57.31530569,0,0,0,0
2021-04-05,13598.16,0.020154529,62.09899751,0,0,0,0
2021-04-06,13578.46,-0.001448725,61.55422778,0,0,0,0
2021-04-07,13616.7,0.002816225,62.2465705,0,0,0,0
2021-04-08,13758.5,0.010413683,64.77943464,0,0,0,0
2021-04-09,13845.05,0.006290657,66.26703254,0,0,0,0
2021-04-12,13819.35,-0.001856259,65.38393029,0,0,0,0
2021-04-13,13986.49,0.012094635,68.33901447,0,0,0,0
2021-04-14,13803.91,-0.013054026,62.10228158,0,1,1,0
2021-04-15,14026.19,0.016102684,66.15223725,0,0,0,0
2021-04-16,14041.91,0.001120761,66.42550197,0,0,0,0
2021-04-19,13907.67,-0.009559953,61.83458796,0,0,0,0
2021-04-20,13809.3,-0.007073076,58.63644861,0,0,0,0
2021-04-21,13935.15,0.009113424,61.3879161,0,0,0,0
2021-04-22,13762.36,-0.012399579,55.89077636,0,0,0,0
2021-04-23,13941.44,0.013012303,59.89875087,0,0,0,0
2021-04-26,14026.16,0.006076847,61.67303635,0,0,0,0
2021-04-27,13960.28,-0.004696938,59.46953918,0,0,0,0
2021-04-28,13901.62,-0.004201921,57.49958982,0,0,0,0
2021-04-29,13970.21,0.004933957,59.2013927,0,0,0,0
2021-04-30,13860.76,-0.007834528,55.38997169,0,0,0,0
2021-05-03,13799.72,-0.004403799,53.32794953,0,0,0,0
2021-05-04,13544.67,-0.018482259,45.67639781,0,0,0,0
2021-05-05,13503.37,-0.00304917,44.56142792,0,0,0,0
2021-05-06,13613.73,0.008172775,48.20012833,0,0,0,0
2021-05-07,13719.63,0.007778911,51.49039398,0,0,0,0
2021-05-10,13359.08,-0.026279863,41.76387771,0,0,0,0
2021-05-11,13351.27,-0.000584621,41.58064939,0,0,0,0
2021-05-12,13001.63,-0.026187771,34.32112666,0,0,0,0
2021-05-13,13109.15,0.008269732,37.91104039,0,0,0,0
2021-05-14,13393.12,0.021661969,46.26485165,0,0,0,0
2021-05-17,13312.91,-0.005988896,44.44581323,0,0,0,0
2021-05-18,13217.68,-0.007153207,42.31840918,0,0,0,0
2021-05-19,13237.91,0.001530526,42.94319812,0,0,0,0
2021-05-20,13494.09,0.019351997,50.28669274,0,0,0,0
2021-05-21,13411.74,-0.006102672,48.14172829,0,0,0,0
2021-05-24,13641.75,0.0171499,54.03867693,0,0,0,0
2021-05-25,13657.73,0.001171404,54.42641393,0,0,0,0
2021-05-26,13702.74,0.00329557,55.56352082,0,0,0,0
2021-05-27,13657.85,-0.003275987,54.11335448,0,0,0,0
2021-05-28,13686.51,0.002098427,54.9222667,0,0,0,0
2021-06-01,13654.59,-0.002332223,53.78503766,0,0,0,0
2021-06-02,13675.79,0.001552591,54.45949578,0,0,0,0
2021-06-03,13529.68,-0.010683843,49.13706128,0,0,0,0
2021-06-04,13770.77,0.017819342,56.66327781,0,0,0,0
2021-06-07,13802.89,0.002332477,57.56420283,0,0,0,0
2021-06-08,13810.86,0.000577415,57.79864002,0,0,0,0
2021-06-09,13814.94,0.00029542,57.92678052,0,0,0,0
2021-06-10,13960.35,0.010525561,62.31824956,0,0,0,0
2021-06-11,13998.3,0.002718413,63.39218957,0,0,0,0
2021-06-14,14128.2,0.009279698,66.87251224,0,0,0,0
2021-06-15,14030.41,-0.006921618,62.08712298,0,1,1,0
2021-06-16,13983.01,-0.003378376,59.85142713,0,0,0,0
2021-06-17,14163.81,0.012929977,65.02482468,0,0,0,0
2021-06-18,14049.58,-0.00806492,59.78336187,0,0,0,0
2021-06-21,14137.23,0.006238621,62.29484614,0,0,0,0
2021-06-22,14270.42,0.009421223,65.79084607,0,0,0,0
2021-06-23,14274.24,0.000267687,65.88853548,0,0,0,0
2021-06-24,14365.96,0.006425561,68.23412165,0,0,0,0
2021-06-25,14345.18,-0.001446475,67.1082392,0,0,0,0
2021-06-28,14524.98,0.012533827,71.49147663,0,0,0,0
2021-06-29,14572.75,0.003288817,72.53856036,0,0,0,0
2021-06-30,14554.8,-0.001231751,71.47622366,0,0,0,0
2021-07-01,14560.05,0.000360706,71.60719645,0,0,0,0
2021-07-02,14727.63,0.011509576,75.47781805,0,0,0,0
2021-07-06,14786.36,0.003987743,76.67777303,0,0,0,0
2021-07-07,14814.11,0.00187673,77.24438035,0,0,0,0